time,neutral,postive,negtive
2020-04-19,2,7,8
2020-04-20,2,8,10
2020-04-21,1,10,9
2020-04-22,7,30,24
2020-04-23,4,14,22
2020-04-24,3,13,13
2020-04-25,6,11,16
2020-04-26,8,31,24
2020-04-27,3,24,10
2020-04-28,5,13,15
2020-04-29,4,18,10
2020-04-30,7,16,18
2020-05-01,6,25,23
2020-05-02,7,18,14
2020-05-03,3,11,9
2020-05-04,6,11,6
2020-05-05,0,22,11
2020-05-06,1,8,4
2020-05-07,3,5,8
2020-05-08,0,10,11
2020-05-09,4,6,5
2020-05-10,3,18,5
2020-05-11,1,3,2
2020-05-12,3,5,2
2020-05-13,2,18,7
2020-05-14,5,19,8
2020-05-15,1,4,4
2020-05-16,2,10,8
2020-05-17,0,3,2
2020-05-18,0,11,8
2020-05-19,3,11,9
2020-05-20,1,5,3
2020-05-21,2,5,1
2020-05-22,5,8,2
2020-05-23,8,19,4
2020-05-24,1,2,1
2020-05-25,2,5,1
2020-05-26,2,2,3
2020-05-27,0,4,3
2020-05-28,4,5,1
2020-05-29,1,5,2
2020-05-30,2,6,11
2020-05-31,0,5,5
2020-06-01,0,2,2
2020-06-02,6,8,11
2020-06-03,1,2,2
2020-06-04,1,6,8
2020-06-05,2,10,9
2020-06-06,2,0,2
2020-06-07,0,2,4
2020-06-08,1,12,4
2020-06-09,0,5,0
2020-06-10,0,0,1
2020-06-12,0,2,0
2020-06-13,5,20,17
2020-06-14,9,22,22
2020-06-15,3,6,6
2020-06-16,2,9,8
2020-06-17,1,7,2
2020-06-18,2,7,4
2020-06-19,5,11,15
2020-06-20,2,7,6
2020-06-22,0,0,4
2020-06-23,3,5,12
2020-06-24,0,3,8
2020-06-26,1,5,3
2020-06-27,7,12,7
2020-06-28,1,0,0
2020-06-29,2,7,2
2020-06-30,1,7,4
2020-07-01,1,3,0
2020-07-02,0,2,1
2020-07-03,3,0,1
2020-07-04,3,7,6
2020-07-05,0,2,3
2020-07-06,1,3,2
2020-07-07,0,7,7
2020-07-08,2,12,11
2020-07-09,2,6,7
2020-07-10,0,7,7
2020-07-11,2,2,1
2020-07-13,0,2,2
2020-07-14,5,8,13
2020-07-15,1,7,4
2020-07-16,0,3,3
2020-07-17,0,2,1
2020-07-18,2,4,3
2020-07-19,3,9,12
2020-07-20,1,5,9
2020-07-21,1,5,5
2020-07-22,10,16,12
2020-07-23,2,5,2
2020-07-24,2,5,3
2020-07-25,0,2,1
2020-07-27,1,4,1
2020-07-28,1,0,2
2020-07-29,3,15,6
2020-07-30,0,5,4
2020-07-31,0,2,1
2020-08-01,1,3,2
2020-08-02,1,8,5
2020-08-03,2,11,3
2020-08-04,1,4,2
2020-08-06,2,4,0
2020-08-07,1,3,1
2020-08-08,2,2,0
2020-08-09,2,13,8
2020-08-10,0,1,1
2020-08-11,0,4,2
2020-08-12,2,4,2
2020-08-13,3,2,5
2020-08-14,0,0,2
2020-08-15,2,6,6
2020-08-16,1,3,7
2020-08-17,6,12,6
2020-08-18,2,2,7
2020-08-19,1,0,2
2020-08-20,0,0,1
2020-08-21,0,0,1
2020-08-22,1,1,0
2020-08-23,1,0,0
2020-08-24,1,0,0
2020-08-25,7,6,6
2020-08-26,3,1,2
2020-08-27,1,1,3
2020-08-28,0,0,1
2020-08-29,0,1,1
2020-08-30,1,2,2
2020-08-31,0,3,3
2020-09-01,4,8,8
2020-09-02,0,1,1
2020-09-03,2,1,0
2020-09-05,2,5,3
2020-09-06,0,3,1
2020-09-07,0,1,2
2020-09-08,2,10,5
2020-09-09,0,1,1
2020-09-10,1,1,5
2020-09-11,0,5,7
2020-09-12,1,0,0
2020-09-13,1,2,0
2020-09-14,0,0,1
2020-09-16,1,1,3
2020-09-17,1,5,3
2020-09-18,1,9,5
2020-09-19,1,3,6
2020-09-20,0,1,0
2020-09-21,1,0,0
2020-09-22,0,1,0
2020-09-24,0,1,0
2020-09-25,0,12,4
2020-09-27,1,0,0
2020-09-29,3,10,10
2020-09-30,0,7,2
2020-10-01,3,8,7
2020-10-02,0,12,7
2020-10-03,0,4,1
2020-10-06,2,15,5
2020-10-07,1,3,9
2020-10-08,0,4,2
2020-10-09,0,1,1
2020-10-11,0,9,9
2020-10-12,1,16,7
2020-10-13,2,13,3
2020-10-14,1,2,1
2020-10-15,4,4,1
2020-10-16,4,20,8
2020-10-17,3,7,1
2020-10-18,2,1,0
2020-10-19,1,2,1
2020-10-20,2,6,4
2020-10-21,2,5,5
2020-10-22,0,4,7
2020-10-23,0,0,2
2020-10-24,1,2,0
2020-10-25,1,7,4
2020-10-26,4,7,6
2020-10-27,1,9,13
2020-10-28,3,5,10
2020-10-29,2,1,0
2020-10-30,0,0,2
2020-10-31,8,8,6
2020-11-01,1,3,5
2020-11-02,0,6,1
2020-11-03,1,1,2
2020-11-04,0,0,1
2020-11-05,3,12,5
2020-11-06,0,2,4
2020-11-07,0,3,3
2020-11-08,1,17,12
2020-11-09,1,8,8
2020-11-10,1,15,5
2020-11-11,0,4,11
2020-11-12,1,7,2
2020-11-13,2,7,3
2020-11-14,0,1,1
2020-11-16,1,4,3
2020-11-17,10,20,5
2020-11-18,3,4,1
2020-11-19,3,9,8
2020-11-20,0,4,0
2020-11-21,0,10,10
2020-11-22,0,0,1
2020-11-23,0,1,0
2020-11-24,0,6,16
2020-11-25,2,2,7
2020-11-26,3,13,9
2020-11-27,0,3,4
